Instance,Solution_ID,Tasks,Z1_Pareto,Z2_Pareto,Time_Sec
buxey_c=36.alb,1,29,11,267,0.063
buxey_c=36.alb,2,29,12,246,0.063
buxey_c=36.alb,3,29,13,232,0.063
gunther_c=44.alb,1,35,16,287,0.0416
gunther_c=44.alb,2,35,14,301,0.0416
gunther_c=44.alb,3,35,15,294,0.0416
gunther_c=44.alb,4,35,13,322,0.0416
gunther_c=49.alb,1,35,14,294,0.062
gunther_c=49.alb,2,35,13,301,0.062
gunther_c=49.alb,3,35,12,315,0.062
gunther_c=49.alb,4,35,15,287,0.062
gunther_c=54.alb,1,35,13,280,0.0565
gunther_c=54.alb,2,35,12,287,0.0565
gunther_c=54.alb,3,35,11,301,0.0565
gunther_c=69.alb,1,35,9,301,0.026
gunther_c=69.alb,2,35,10,280,0.026
gunther_c=69_1.alb,1,35,10,280,0.0705
gunther_c=69_1.alb,2,35,9,287,0.0705
gunther_c=69_2.alb,1,35,10,100280,0.032
gunther_c=69_2.alb,2,35,9,100287,0.032
gunther_c=69_3.alb,1,35,9,100294,0.0535
heskia_c=138.alb,1,28,10,231,0.031
heskia_c=138.alb,2,28,9,245,0.031
heskia_c=138.alb,3,28,11,224,0.031
heskia_c=216.alb,1,28,6,231,0.0635
heskia_c=216.alb,2,28,7,224,0.0635
heskia_c=256.alb,1,28,5,224,0.046
heskia_c=342.alb,1,28,4,224,0.0645
kilbrid_c=110.alb,1,45,7,360,0.0506
kilbrid_c=110.alb,2,45,6,381,0.0506
kilbrid_c=110_1.alb,1,45,7,200374,0.077
kilbrid_c=138.alb,1,45,5,360,0.0625
kilbrid_c=184.alb,1,45,4,100360,0.037
kilbrid_c=56.alb,1,45,13,367,0.0965
kilbrid_c=56.alb,2,45,12,374,0.0965
kilbrid_c=56.alb,3,45,14,360,0.0965
kilbrid_c=57.alb,1,45,13,367,0.0798
kilbrid_c=57.alb,2,45,11,402,0.0798
kilbrid_c=57.alb,3,45,12,374,0.0798
kilbrid_c=62.alb,1,45,12,360,0.0465
kilbrid_c=62.alb,2,45,11,374,0.0465
kilbrid_c=62_1.alb,1,45,12,360,0.0695
kilbrid_c=62_1.alb,2,45,11,374,0.0695
kilbrid_c=92.alb,1,45,8,100367,0.147
lutz1_c=1414.alb,1,32,12,298,0.032
lutz1_c=1414.alb,2,32,13,270,0.032
lutz1_c=1414_1.alb,1,32,14,270,0.0336
lutz1_c=1414_1.alb,2,32,13,277,0.0336
lutz1_c=1414_1.alb,3,32,12,298,0.0336
lutz1_c=1414_2.alb,1,32,12,291,0.026
lutz1_c=1414_2.alb,2,32,13,284,0.026
lutz1_c=1572.alb,1,32,11,270,0.022
lutz1_c=1572_1.alb,1,32,11,284,0.022
lutz1_c=1572_1.alb,2,32,12,263,0.022
lutz1_c=2357.alb,1,32,8,256,0.0535
lutz1_c=2357.alb,2,32,7,200284,0.0535
lutz1_c=2357_1.alb,1,32,8,270,0.029
lutz1_c=2357_1.alb,2,32,7,100291,0.029
lutz1_c=2357_2.alb,1,32,9,256,0.0415
lutz1_c=2357_2.alb,2,32,8,270,0.0415
lutz1_c=2357_2.alb,3,32,7,284,0.0415
lutz1_c=2357_3.alb,1,32,8,256,0.033
lutz1_c=2357_3.alb,2,32,7,100291,0.033
mitchell_c=14.alb,1,21,11,175,0.018
mitchell_c=14.alb,2,21,10,189,0.018
mitchell_c=15.alb,1,21,10,182,0.015
mitchell_c=15_1.alb,1,21,10,175,0.016
mitchell_c=15_1.alb,2,21,9,196,0.016
mitchell_c=21.alb,1,21,7,168,0.0145
mitchell_c=26.alb,1,21,6,168,0.02
mitchell_c=26.alb,2,21,5,182,0.02
roszieg_c=14.alb,1,25,12,207,0.02
roszieg_c=16.alb,1,25,10,228,0.0193
roszieg_c=16.alb,2,25,11,207,0.0193
roszieg_c=16_1.alb,1,25,10,100228,0.0355
roszieg_c=16_1.alb,2,25,11,100207,0.0355
roszieg_c=25.alb,1,25,7,214,0.04
roszieg_c=25.alb,2,25,6,228,0.04
roszieg_c=25_1.alb,1,25,7,207,0.016
roszieg_c=25_1.alb,2,25,6,228,0.016
roszieg_c=32.alb,1,25,6,207,0.032
roszieg_c=32.alb,2,25,5,214,0.032
roszieg_c=32_1.alb,1,25,6,207,0.0175
roszieg_c=32_1.alb,2,25,5,214,0.0175
roszieg_c=32_2.alb,1,25,5,207,0.02
sawyer30_c=25.alb,1,30,17,254,0.0825
sawyer30_c=25.alb,2,30,16,268,0.0825
sawyer30_c=25.alb,3,30,18,247,0.0825
sawyer30_c=25.alb,4,30,15,289,0.0825
sawyer30_c=25.alb,5,30,19,240,0.0825
sawyer30_c=25_1.alb,1,30,17,254,0.045
sawyer30_c=25_1.alb,2,30,18,247,0.045
sawyer30_c=25_1.alb,3,30,16,268,0.045
Sawyer30_c=33.alb,1,30,12,100268,0.0965
Sawyer30_c=33.alb,2,30,14,100240,0.0965
Sawyer30_c=33.alb,3,30,13,100247,0.0965
Sawyer30_c=33_1.alb,1,30,14,240,0.0535
Sawyer30_c=33_1.alb,2,30,13,247,0.0535
Sawyer30_c=33_1.alb,3,30,12,268,0.0535
sawyer30_c=41.alb,1,30,11,240,0.024
sawyer30_c=41.alb,2,30,10,261,0.024
sawyer30_c=41_1.alb,1,30,11,247,0.042
sawyer30_c=41_1.alb,2,30,10,254,0.042
sawyer30_c=41_2.alb,1,30,10,261,0.0605
sawyer30_c=41_2.alb,2,30,11,240,0.0605
