Factor,Level,Value,Mean_Score,Avg_SN_Ratio
MAX_NO_IMPROVE,Level 1,30,553030.65,-114.85
MAX_NO_IMPROVE,Level 2,50,547472.05,-114.77
MAX_NO_IMPROVE,Level 3,100,550247.69,-114.81
INIT_ARCHIVE,Level 1,10,550249.11,-114.81
INIT_ARCHIVE,Level 2,20,550250.8,-114.81
INIT_ARCHIVE,Level 3,50,550250.47,-114.81
SHAKING,Level 1,1,550250.86,-114.81
SHAKING,Level 2,2,553029.74,-114.85
SHAKING,Level 3,3,547469.78,-114.77
LS_LIMIT,Level 1,50,547473.54,-114.77
LS_LIMIT,Level 2,100,553026.69,-114.85
LS_LIMIT,Level 3,200,550250.15,-114.81
